Experiment Number, Parameters, Grapheme Decoder CER,Phoneme+Grapheme Decoder CER, Phoneme Decoder PER, Phoneme+Grapheme Decoder PER
120,blstmp_1_location2d_lstm_1,46.8,0,25.3,0
121,blstmp_1_location2d_gru_1,42.6,0,25.4,0
122,blstmp_3_location2d_lstm_3,37.7,0,21.4,0
123,blstmp_3_location2d_gru_3,36.4,0,22.1,0
124,blstmp_5_location2d_lstm_5,41.3,0,21.4,0
125,blstmp_5_location2d_gru_5,41,0,21.6,0
126,bgrup_1_location2d_lstm_1,44.7,0,23.6,0
127,bgrup_1_location2d_gru_1,38.9,0,23.4,0
128,bgrup_3_location2d_lstm_3,35.4,0,19.7,0
129,bgrup_3_location2d_gru_3,35.3,0,20.3,0
130,bgrup_5_location2d_lstm_5,34.2,0,20.8,0
131,bgrup_5_location2d_gru_5,34.8,0,20.1,0
132,vggblstmp_1_location2d_lstm_1,40.5,37.7,21.5,21.4
133,vggblstmp_1_location2d_gru_1,40.1,36.4,22,21.9
134,vggblstmp_3_location2d_lstm_3,37.2,33.9,21,21.1
135,vggblstmp_3_location2d_gru_3,37.6,33.2,21.8,21.3
136,vggblstmp_5_location2d_lstm_5,36.4,34.9,22.4,23
137,vggblstmp_5_location2d_gru_5,41.2,55.4,23.1,37.9
138,vggbgrup_1_location2d_lstm_1,39.5,37.6,21.2,20.8
139,vggbgrup_1_location2d_gru_1,38.9,36.6,21.8,21.7
140,vggbgrup_3_location2d_lstm_3,35.9,33.3,21,21.2
141,vggbgrup_3_location2d_gru_3,34,33.3,20.9,20.7
142,vggbgrup_5_location2d_lstm_5,35,31.9,21,21.2
143,vggbgrup_5_location2d_gru_5,36.4,31.8,21,20.8
144,blstmp_1_location_recurrent_lstm_1,47.1,41.8,28.7,27.4
145,blstmp_1_location_recurrent_gru_1,45.1,40.8,51.8,27.1
146,blstmp_3_location_recurrent_lstm_3,41.3,34.8,21.9,22.2
147,blstmp_3_location_recurrent_gru_3,37.7,34.7,22.2,22.2
148,blstmp_5_location_recurrent_lstm_5,37.5,33.6,21.4,22.5
149,blstmp_5_location_recurrent_gru_5,37.4,33.9,22.9,22.3
150,bgrup_1_location_recurrent_lstm_1,44.1,40.9,24.7,24.9
151,bgrup_1_location_recurrent_gru_1,43.7,39.8,25.2,25.9
152,bgrup_3_location_recurrent_lstm_3,36.7,33.4,20.7,21.3
153,bgrup_3_location_recurrent_gru_3,36.2,34,20.3,21.2
154,bgrup_5_location_recurrent_lstm_5,35.5,33,20.3,20.5
155,bgrup_5_location_recurrent_gru_5,35.1,32.1,20.3,20.8
156,vggblstmp_1_location_recurrent_lstm_1,43.2,39.2,21.3,23.3
157,vggblstmp_1_location_recurrent_gru_1,41.3,38.5,23.6,22
158,vggblstmp_3_location_recurrent_lstm_3,38.2,34.7,21.2,22.3
159,vggblstmp_3_location_recurrent_gru_3,37.7,34,28.5,21.9
160,vggblstmp_5_location_recurrent_lstm_5,41.8,35.2,42.2,23.5
161,vggblstmp_5_location_recurrent_gru_5,39.1,49.6,23.3,33
162,vggbgrup_1_location_recurrent_lstm_1,40.4,38.5,21.4,22.6
163,vggbgrup_1_location_recurrent_gru_1,39.7,37.6,35.9,21.5
164,vggbgrup_3_location_recurrent_lstm_3,35.7,33.8,20.2,20.7
165,vggbgrup_3_location_recurrent_gru_3,35.7,33.7,21.7,21.1
166,vggbgrup_5_location_recurrent_lstm_5,38.5,33,61,21.8
167,vggbgrup_5_location_recurrent_gru_5,35.8,32.5,54.1,21.2
168,blstmp_1_multi_head_dot_lstm_1,46.2,43.3,36.5,28.2
169,blstmp_1_multi_head_dot_gru_1,47.5,42.3,28.6,28.1
170,blstmp_3_multi_head_dot_lstm_3,38.7,34.8,22,22.9
